Date,CPU Utilization,CPU Power
2024-10-22 03:03:55,0.95913,56.50292
2024-10-22 03:03:56,1.03874,57.59537
2024-10-22 03:03:57,0.95853,57.51501
2024-10-22 03:03:58,1.03743,57.49594
2024-10-22 03:03:59,0.95583,56.78582
2024-10-22 03:04:00,1.03939,56.64022
2024-10-22 03:04:01,0.95823,57.80841
2024-10-22 03:04:02,1.03874,57.89920
2024-10-22 03:04:03,0.95883,57.90699
2024-10-22 03:04:04,1.03776,57.56068
2024-10-22 03:04:05,0.95793,57.40502
2024-10-22 03:04:06,1.03809,57.77338
2024-10-22 03:04:07,0.95913,57.78876
2024-10-22 03:04:08,1.03841,57.51891
2024-10-22 03:04:09,0.95553,56.46519
2024-10-22 03:04:10,1.03613,57.11294
2024-10-22 03:04:11,0.95763,57.66323
2024-10-22 03:04:12,1.03906,57.92124
2024-10-22 03:04:13,0.96274,58.17810
2024-10-22 03:04:14,0.95883,57.85635
2024-10-22 03:04:15,1.03874,57.83298
2024-10-22 03:04:16,0.95853,57.67467
2024-10-22 03:04:17,1.03874,57.61095
2024-10-22 03:04:18,0.95883,57.70444
2024-10-22 03:04:19,1.03646,56.95987
2024-10-22 03:04:20,0.95613,56.74541
2024-10-22 03:04:21,1.03874,57.79403
2024-10-22 03:04:22,0.95853,57.73698
2024-10-22 03:04:23,1.03874,57.74728
2024-10-22 03:04:24,0.95853,57.92000
2024-10-22 03:04:25,1.03906,58.03424
2024-10-22 03:04:26,0.96214,57.93072
2024-10-22 03:04:27,1.03874,57.72002
2024-10-22 03:04:28,0.95853,57.70972
2024-10-22 03:04:29,1.03548,56.76641
2024-10-22 03:04:30,0.95523,56.55997
2024-10-22 03:04:31,1.03874,57.91088
2024-10-22 03:04:32,0.95883,57.80571
2024-10-22 03:04:33,1.04264,57.55313
2024-10-22 03:04:34,0.95823,57.79284
2024-10-22 03:04:35,1.03809,57.72666
2024-10-22 03:04:36,0.95853,57.75645
2024-10-22 03:04:37,1.03939,58.07581
2024-10-22 03:04:38,0.95763,57.41035
2024-10-22 03:04:39,1.03581,56.78037
2024-10-22 03:04:40,0.96064,57.45781
2024-10-22 03:04:41,1.03874,57.76286
2024-10-22 03:04:42,0.95853,57.84990
2024-10-22 03:04:43,1.03874,57.91478
2024-10-22 03:04:44,0.95883,57.98100
2024-10-22 03:04:45,1.03841,57.89664
2024-10-22 03:04:46,0.95883,58.01995
2024-10-22 03:04:47,1.04264,58.25769
2024-10-22 03:04:48,0.95913,58.06152
2024-10-22 03:04:49,1.03516,56.70198
2024-10-22 03:04:50,0.95583,56.91396
2024-10-22 03:04:51,1.03874,57.94594
2024-10-22 03:04:52,0.95853,58.00177
2024-10-22 03:04:53,1.03906,57.62511
2024-10-22 03:04:54,0.96244,57.34022
2024-10-22 03:04:55,1.03874,57.75897
2024-10-22 03:04:56,0.95883,57.88751
2024-10-22 03:04:57,1.03841,57.78760
2024-10-22 03:04:58,0.95913,57.77708
2024-10-22 03:04:59,1.03483,56.53668
2024-10-22 03:05:00,0.96034,57.51786
2024-10-22 03:05:01,1.03711,57.35734
2024-10-22 03:05:02,0.95853,57.79149
2024-10-22 03:05:03,1.03874,57.90309
2024-10-22 03:05:04,0.95793,57.66575
2024-10-22 03:05:05,1.03906,58.00307
2024-10-22 03:05:06,0.95853,57.80318
2024-10-22 03:05:07,1.04297,58.15073
2024-10-22 03:05:08,0.95823,57.92520
2024-10-22 03:05:09,1.03548,56.69263
2024-10-22 03:05:10,0.95523,56.36982
2024-10-22 03:05:11,1.03841,57.78760
2024-10-22 03:05:12,0.95883,57.73949
2024-10-22 03:05:13,1.03874,57.81350
2024-10-22 03:05:14,0.96274,58.10770
2024-10-22 03:05:15,1.03841,57.75645
2024-10-22 03:05:16,0.95883,57.93036
2024-10-22 03:05:17,1.03874,57.91867
2024-10-22 03:05:18,0.95883,57.75897
2024-10-22 03:05:19,1.03613,56.94586
2024-10-22 03:05:20,0.95463,56.32272
2024-10-22 03:05:21,1.04297,57.91606
2024-10-22 03:05:22,1.03841,57.99399
2024-10-22 03:05:23,0.95944,58.08360
2024-10-22 03:05:24,1.03874,57.98100
2024-10-22 03:05:25,0.95853,57.91221
2024-10-22 03:05:26,1.03874,57.81350
2024-10-22 03:05:27,0.96244,57.93317
2024-10-22 03:05:28,1.03841,57.83044
2024-10-22 03:05:29,0.95463,56.44294
2024-10-22 03:05:30,1.03646,57.17752
2024-10-22 03:05:31,0.95853,58.00177
2024-10-22 03:05:32,1.03939,57.91990
2024-10-22 03:05:33,0.95944,58.03683
2024-10-22 03:05:34,1.03841,57.74477
2024-10-22 03:05:35,0.95853,57.84211
2024-10-22 03:05:36,1.03874,57.87193
2024-10-22 03:05:37,0.95853,57.88884
2024-10-22 03:05:38,1.03809,57.50477
2024-10-22 03:05:39,0.95493,56.78658
2024-10-22 03:05:40,1.03613,56.85261
2024-10-22 03:05:41,0.96244,58.05828
2024-10-22 03:05:42,1.03874,57.76676
2024-10-22 03:05:43,0.95883,57.74339
2024-10-22 03:05:44,1.03841,57.86548
2024-10-22 03:05:45,0.95883,57.66938
2024-10-22 03:05:46,1.03841,57.65520
2024-10-22 03:05:47,0.95763,57.53484
2024-10-22 03:05:48,1.04264,57.46022
2024-10-22 03:05:49,0.95523,56.61818
2024-10-22 03:05:50,1.03613,57.08963
2024-10-22 03:05:51,0.95823,57.62156
2024-10-22 03:05:52,1.03809,57.58652
2024-10-22 03:05:53,0.95853,57.78370
2024-10-22 03:05:54,1.03906,57.76928
2024-10-22 03:05:55,0.96214,58.06752
2024-10-22 03:05:56,1.03841,57.67078
2024-10-22 03:05:57,0.95883,57.77066
2024-10-22 03:05:58,1.03906,58.11996
2024-10-22 03:05:59,0.95553,56.65152
2024-10-22 03:06:00,1.03548,56.85960
2024-10-22 03:06:01,0.95763,57.66323
2024-10-22 03:06:02,1.03874,57.87972
2024-10-22 03:06:03,0.95883,57.88362
2024-10-22 03:06:04,1.03743,57.69824
2024-10-22 03:06:05,0.95913,58.01476
2024-10-22 03:06:06,1.03841,57.93168
2024-10-22 03:06:07,0.95853,57.97840
2024-10-22 03:06:08,1.04232,57.55838
2024-10-22 03:06:09,0.95733,57.37678
2024-10-22 03:06:10,1.03581,56.96293
2024-10-22 03:06:11,0.95883,57.87583
2024-10-22 03:06:12,1.03841,57.91610
2024-10-22 03:06:13,0.95853,57.90831
2024-10-22 03:06:14,1.03906,57.89007
2024-10-22 03:06:15,0.96244,58.06219
2024-10-22 03:06:16,1.03874,57.84856
2024-10-22 03:06:17,0.95883,57.88751
2024-10-22 03:06:18,1.03874,57.79013
2024-10-22 03:06:19,0.95403,56.31440
2024-10-22 03:06:20,1.03678,57.15271
2024-10-22 03:06:21,0.95853,57.67857
2024-10-22 03:06:22,1.04264,58.07784
2024-10-22 03:06:23,0.95853,57.69414
2024-10-22 03:06:24,1.03906,57.97190
2024-10-22 03:06:25,0.95883,57.95374
2024-10-22 03:06:26,1.03906,58.04203
2024-10-22 03:06:27,0.95944,58.09140
2024-10-22 03:06:28,1.03841,57.85769
2024-10-22 03:06:29,0.95913,56.89647
2024-10-22 03:06:30,1.03548,57.01104
2024-10-22 03:06:31,0.95853,57.84211
2024-10-22 03:06:32,1.03874,57.93036
2024-10-22 03:06:33,0.95883,57.93036
2024-10-22 03:06:34,1.03906,58.10438
2024-10-22 03:06:35,0.95883,58.02385
2024-10-22 03:06:36,0.96244,58.21859
2024-10-22 03:06:37,1.03874,57.92257
2024-10-22 03:06:38,0.95793,57.62684
2024-10-22 03:06:39,1.03516,56.76797
2024-10-22 03:06:40,0.95673,57.16586
2024-10-22 03:06:41,1.03711,57.50512
2024-10-22 03:06:42,0.95883,57.82909
2024-10-22 03:06:43,1.04264,57.64991
2024-10-22 03:06:44,0.95944,58.26290
2024-10-22 03:06:45,1.03874,57.92257
2024-10-22 03:06:46,0.95883,57.91478
2024-10-22 03:06:47,1.03841,57.76424
2024-10-22 03:06:48,0.95613,56.88136
2024-10-22 03:06:49,1.03809,57.58263
2024-10-22 03:06:50,0.95974,57.13486
2024-10-22 03:06:51,1.03841,57.85769
2024-10-22 03:06:52,0.95883,57.88362
2024-10-22 03:06:53,1.03939,58.08361
2024-10-22 03:06:54,0.95853,58.00566
2024-10-22 03:06:55,1.03874,57.82129
2024-10-22 03:06:56,0.95823,57.76949
2024-10-22 03:06:57,1.04232,58.09098
2024-10-22 03:06:58,0.95883,58.44469
2024-10-22 03:06:59,1.03516,56.08292
2024-10-22 03:07:00,0.95553,56.80679
2024-10-22 03:07:01,1.03711,57.52068
2024-10-22 03:07:02,0.95913,57.86280
2024-10-22 03:07:03,1.03874,57.98489
2024-10-22 03:07:04,0.95823,58.14067
2024-10-22 03:07:05,1.03841,57.85769
2024-10-22 03:07:06,0.95853,57.68636
2024-10-22 03:07:07,1.03841,57.84991
2024-10-22 03:07:08,0.95853,57.81096
2024-10-22 03:07:09,1.03418,56.59031
2024-10-22 03:07:10,0.95733,57.28733
2024-10-22 03:07:11,1.04264,58.07001
2024-10-22 03:07:12,0.95883,57.68885
2024-10-22 03:07:13,1.03874,57.84467
2024-10-22 03:07:14,0.95883,57.93036
2024-10-22 03:07:15,1.03874,57.84467
2024-10-22 03:07:16,0.95853,57.83433
2024-10-22 03:07:17,1.04297,58.16637
2024-10-22 03:07:18,0.95913,58.11217
2024-10-22 03:07:19,1.03516,56.90772
2024-10-22 03:07:20,0.95583,56.88678
2024-10-22 03:07:21,1.03906,58.12776
2024-10-22 03:07:22,0.95793,57.73580
2024-10-22 03:07:23,1.03809,57.74613
2024-10-22 03:07:24,0.96274,58.17419
2024-10-22 03:07:25,1.03874,58.01606
2024-10-22 03:07:26,0.95853,57.88106
2024-10-22 03:07:27,1.03841,57.82655
2024-10-22 03:07:28,0.95733,57.21733
2024-10-22 03:07:29,1.03743,57.55430
2024-10-22 03:07:30,0.95613,57.23871
2024-10-22 03:07:31,1.04134,57.67729
2024-10-22 03:07:32,0.95883,57.94594
2024-10-22 03:07:33,1.03841,57.80318
2024-10-22 03:07:34,0.95883,58.00048
2024-10-22 03:07:35,1.03906,58.01865
2024-10-22 03:07:36,0.95913,58.12775
2024-10-22 03:07:37,1.03874,58.02385
2024-10-22 03:07:38,0.96274,57.59821
2024-10-22 03:07:39,1.03451,56.75555
2024-10-22 03:07:40,0.95613,56.87359
2024-10-22 03:07:41,1.03841,57.89664
2024-10-22 03:07:42,0.95883,57.87583
2024-10-22 03:07:43,1.03874,57.99269
2024-10-22 03:07:44,0.95883,58.11733
2024-10-22 03:07:45,0.96274,58.14290
2024-10-22 03:07:46,1.03906,57.94852
2024-10-22 03:07:47,0.95853,57.83433
2024-10-22 03:07:48,1.03874,57.93036
2024-10-22 03:07:49,0.95553,56.57388
2024-10-22 03:07:50,1.03581,56.87359
2024-10-22 03:07:51,0.96244,57.96836
2024-10-22 03:07:52,1.03874,57.90699
2024-10-22 03:07:53,0.95944,58.02904
2024-10-22 03:07:54,1.03841,57.81876
2024-10-22 03:07:55,0.95883,57.91478
2024-10-22 03:07:56,1.03939,58.13818
2024-10-22 03:07:57,0.95853,57.85769
2024-10-22 03:07:58,1.03776,57.49452
2024-10-22 03:07:59,0.95373,56.11843
2024-10-22 03:08:00,1.03743,57.11079
2024-10-22 03:08:01,0.95733,57.59068
2024-10-22 03:08:02,1.03874,57.75897
2024-10-22 03:08:03,0.95883,57.82909
2024-10-22 03:08:04,1.03809,57.73056
2024-10-22 03:08:05,0.96274,58.05685
2024-10-22 03:08:06,1.03841,57.70972
2024-10-22 03:08:07,0.95883,57.92257
2024-10-22 03:08:08,1.03874,57.91478
2024-10-22 03:08:09,0.95493,56.70123
2024-10-22 03:08:10,1.03483,56.61818
2024-10-22 03:08:11,0.95913,57.95631
2024-10-22 03:08:12,1.04264,57.37893
2024-10-22 03:08:13,0.95883,57.90699
2024-10-22 03:08:14,1.03906,57.98748
2024-10-22 03:08:15,0.95883,58.00827
2024-10-22 03:08:16,1.03841,57.85769
2024-10-22 03:08:17,0.95883,57.94594
2024-10-22 03:08:18,1.03743,57.57764
2024-10-22 03:08:19,0.95703,57.30045
2024-10-22 03:08:20,1.03678,57.26935
2024-10-22 03:08:21,0.95733,57.38845
2024-10-22 03:08:22,1.03971,57.90685
2024-10-22 03:08:23,0.95853,57.81875
2024-10-22 03:08:24,1.03906,57.90955
2024-10-22 03:08:25,0.96244,58.10129
2024-10-22 03:08:26,1.03841,57.85769
2024-10-22 03:08:27,0.95883,57.83687
2024-10-22 03:08:28,1.03906,57.98748
2024-10-22 03:08:29,0.95583,56.99551
2024-10-22 03:08:30,1.03581,57.24648
2024-10-22 03:08:31,0.95853,57.81875
2024-10-22 03:08:32,1.03841,57.04580
2024-10-22 03:08:33,0.95883,57.95374
2024-10-22 03:08:34,1.03841,57.81097
2024-10-22 03:08:35,0.95883,57.89141
2024-10-22 03:08:36,1.03841,57.81876
2024-10-22 03:08:37,0.95853,57.67857
2024-10-22 03:08:38,1.03874,57.89141
2024-10-22 03:08:39,0.95553,56.62822
2024-10-22 03:08:40,1.03548,56.76252
2024-10-22 03:08:41,0.95913,57.80045
2024-10-22 03:08:42,1.03874,57.83688
2024-10-22 03:08:43,0.95883,57.86024
2024-10-22 03:08:44,1.03874,57.97710
2024-10-22 03:08:45,0.95853,57.95893
2024-10-22 03:08:46,1.03906,58.08879
2024-10-22 03:08:47,0.95883,57.82129
2024-10-22 03:08:48,1.03874,57.79013
2024-10-22 03:08:49,0.95523,56.43191
2024-10-22 03:08:50,1.03678,57.17604
2024-10-22 03:08:51,0.96274,58.25241
2024-10-22 03:08:52,1.03841,57.90442
2024-10-22 03:08:53,0.95883,57.80571
2024-10-22 03:08:54,1.03841,57.71751
2024-10-22 03:08:55,0.95883,57.81350
2024-10-22 03:08:56,1.03743,57.39869
2024-10-22 03:08:57,0.95883,57.99268
2024-10-22 03:08:58,0.95523,56.64922
2024-10-22 03:08:59,1.03809,57.34906
2024-10-22 03:09:00,0.95583,56.59167
2024-10-22 03:09:01,1.03711,57.42734
2024-10-22 03:09:02,0.95853,57.65520
2024-10-22 03:09:03,1.03874,57.89920
2024-10-22 03:09:04,0.95823,57.72277
2024-10-22 03:09:05,1.03874,57.82129
2024-10-22 03:09:06,0.95823,57.71498
2024-10-22 03:09:07,1.03809,57.48141
2024-10-22 03:09:08,0.95913,58.04983
2024-10-22 03:09:09,1.03483,56.48623
2024-10-22 03:09:10,0.96094,57.44845
2024-10-22 03:09:11,1.03711,57.42734
2024-10-22 03:09:12,0.95883,57.82129
2024-10-22 03:09:13,1.03874,57.82129
2024-10-22 03:09:14,0.95883,57.82909
2024-10-22 03:09:15,1.03841,57.76424
2024-10-22 03:09:16,0.95793,57.56457
2024-10-22 03:09:17,1.04297,57.63693
2024-10-22 03:09:18,0.95883,57.93036
2024-10-22 03:09:19,1.03483,56.61042
2024-10-22 03:09:20,0.95613,56.92797
2024-10-22 03:09:21,1.03874,57.82909
2024-10-22 03:09:22,0.95883,58.07838
2024-10-22 03:09:23,1.03874,57.71223
2024-10-22 03:09:24,0.95913,57.78487
2024-10-22 03:09:25,1.03874,57.79013
2024-10-22 03:09:26,0.95883,57.95374
2024-10-22 03:09:27,1.03874,57.75897
2024-10-22 03:09:28,0.95883,57.79792
2024-10-22 03:09:29,1.03516,56.74468
2024-10-22 03:09:30,0.95944,57.03902
2024-10-22 03:09:31,1.03874,57.63432
2024-10-22 03:09:32,0.95853,57.77981
2024-10-22 03:09:33,1.03874,57.73560
2024-10-22 03:09:34,0.95913,57.85500
2024-10-22 03:09:35,1.03939,57.89651
2024-10-22 03:09:36,0.95853,57.78760
2024-10-22 03:09:37,1.03841,57.70193
2024-10-22 03:09:38,0.95613,56.82698
2024-10-22 03:09:39,1.03613,56.88369
2024-10-22 03:09:40,0.95733,56.89841
2024-10-22 03:09:41,1.03841,57.53838
2024-10-22 03:09:42,0.95883,57.47072
2024-10-22 03:09:43,1.03874,57.85246
2024-10-22 03:09:44,0.95913,57.98748
2024-10-22 03:09:45,1.03874,57.88362
2024-10-22 03:09:46,0.95853,57.70193
2024-10-22 03:09:47,1.03874,57.82129
2024-10-22 03:09:48,0.95883,57.80571
2024-10-22 03:09:49,1.03483,56.24564
2024-10-22 03:09:50,0.96004,56.87194
2024-10-22 03:09:51,1.03841,57.48386
2024-10-22 03:09:52,0.95913,58.00307
2024-10-22 03:09:53,1.03874,57.79013
2024-10-22 03:09:54,0.95853,57.63963
2024-10-22 03:09:55,1.03874,57.75897
2024-10-22 03:09:56,0.95883,57.81350
2024-10-22 03:09:57,1.04329,57.67041
2024-10-22 03:09:58,0.95883,57.89920
2024-10-22 03:09:59,1.03320,56.16492
2024-10-22 03:10:00,0.95763,57.45315
2024-10-22 03:10:01,1.03809,57.81620
2024-10-22 03:10:02,0.95853,57.73308
2024-10-22 03:10:03,1.03841,57.84991
2024-10-22 03:10:04,1.03809,57.55927
2024-10-22 03:10:05,0.95883,57.86804
2024-10-22 03:10:06,1.03841,57.79539
2024-10-22 03:10:07,0.95883,57.79013
2024-10-22 03:10:08,1.03841,57.69415
2024-10-22 03:10:09,0.95553,56.69810
2024-10-22 03:10:10,1.03613,56.49745
2024-10-22 03:10:11,0.95883,57.74339
2024-10-22 03:10:12,1.03874,57.68106
2024-10-22 03:10:13,0.95883,57.83687
2024-10-22 03:10:14,1.03841,57.75645
2024-10-22 03:10:15,0.95944,57.92770
2024-10-22 03:10:16,1.04264,57.98400
2024-10-22 03:10:17,0.95883,57.87583
2024-10-22 03:10:18,1.03548,56.90232
2024-10-22 03:10:19,0.95883,57.85246
2024-10-22 03:10:20,1.03581,56.61723
2024-10-22 03:10:21,0.95853,57.63963
2024-10-22 03:10:22,1.03841,57.75645
2024-10-22 03:10:23,0.96274,58.04903
2024-10-22 03:10:24,1.03841,57.83433
2024-10-22 03:10:25,0.95913,57.94073
2024-10-22 03:10:26,1.03776,57.55679
2024-10-22 03:10:27,0.95913,58.08100
2024-10-22 03:10:28,1.03743,57.35200
2024-10-22 03:10:29,0.95583,57.01880
2024-10-22 03:10:30,1.03678,57.39376
2024-10-22 03:10:31,0.95823,57.85513
2024-10-22 03:10:32,1.03906,57.83942
2024-10-22 03:10:33,0.95913,57.95631
2024-10-22 03:10:34,1.03874,57.63432
2024-10-22 03:10:35,0.95883,57.79792
2024-10-22 03:10:36,1.04199,57.85401
2024-10-22 03:10:37,0.95913,57.88618
2024-10-22 03:10:38,1.03841,57.77203
2024-10-22 03:10:39,0.95523,56.85102
2024-10-22 03:10:40,1.03483,56.78116
2024-10-22 03:10:41,0.95853,57.87326
2024-10-22 03:10:42,1.03874,57.79792
2024-10-22 03:10:43,0.96274,57.45105
2024-10-22 03:10:44,1.03743,57.42981
2024-10-22 03:10:45,0.95883,57.96152
2024-10-22 03:10:46,1.03906,57.97190
2024-10-22 03:10:47,0.95853,57.70193
2024-10-22 03:10:48,1.03874,57.59537
2024-10-22 03:10:49,0.95403,55.99659
2024-10-22 03:10:50,1.03776,57.35442
2024-10-22 03:10:51,0.95913,57.82383
2024-10-22 03:10:52,1.03874,57.70443
2024-10-22 03:10:53,0.95913,58.09658
2024-10-22 03:10:54,1.03874,57.79792
2024-10-22 03:10:55,0.95853,58.06797
2024-10-22 03:10:56,1.04232,58.01280
2024-10-22 03:10:57,0.95883,57.87583
2024-10-22 03:10:58,1.03874,58.06280
2024-10-22 03:10:59,0.95523,56.54057
2024-10-22 03:11:00,1.03451,56.35985
2024-10-22 03:11:01,0.95883,57.91478
2024-10-22 03:11:02,1.03841,57.89664
2024-10-22 03:11:03,0.96304,57.58519
2024-10-22 03:11:04,1.03809,57.80063
2024-10-22 03:11:05,0.95883,57.84467
2024-10-22 03:11:06,1.03841,57.81097
2024-10-22 03:11:07,0.95883,58.07838
2024-10-22 03:11:08,1.03646,57.39130
2024-10-22 03:11:09,0.96244,58.19513
2024-10-22 03:11:10,1.03646,57.18141
2024-10-22 03:11:11,0.95823,57.75391
2024-10-22 03:11:12,1.03906,57.96410
2024-10-22 03:11:13,0.95883,57.99268
2024-10-22 03:11:14,1.03841,57.93558
2024-10-22 03:11:15,0.95883,57.98489
2024-10-22 03:11:16,0.96244,57.91362
2024-10-22 03:11:17,1.03841,57.86548
2024-10-22 03:11:18,0.95823,57.69163
2024-10-22 03:11:19,1.03483,56.63370
2024-10-22 03:11:20,0.95613,56.88136
2024-10-22 03:11:21,1.03874,58.14071
2024-10-22 03:11:22,0.95883,57.92257
2024-10-22 03:11:23,1.03841,57.75645
2024-10-22 03:11:24,0.95883,57.91478
2024-10-22 03:11:25,1.03841,57.91221
2024-10-22 03:11:26,0.95913,58.19789
2024-10-22 03:11:27,1.03841,58.01346
2024-10-22 03:11:28,0.95883,58.00827
2024-10-22 03:11:29,1.03516,56.97759
2024-10-22 03:11:30,0.95613,56.81144
2024-10-22 03:11:31,1.03841,57.77203
2024-10-22 03:11:32,0.95883,57.90699
2024-10-22 03:11:33,1.03841,57.86548
2024-10-22 03:11:34,0.95853,57.95893
2024-10-22 03:11:35,1.04264,57.39441
2024-10-22 03:11:36,0.95883,57.85246
2024-10-22 03:11:37,1.03874,57.92257
2024-10-22 03:11:38,0.95913,58.07320
2024-10-22 03:11:39,1.03255,56.25344
2024-10-22 03:11:40,0.95793,57.78250
2024-10-22 03:11:41,1.03841,57.99009
2024-10-22 03:11:42,0.95853,57.96672
2024-10-22 03:11:43,1.03874,57.95373
2024-10-22 03:11:44,0.95944,58.26290
2024-10-22 03:11:45,1.03841,57.98230
2024-10-22 03:11:46,0.95853,57.77202
2024-10-22 03:11:47,1.03906,57.83942
2024-10-22 03:11:48,0.95583,56.88678
2024-10-22 03:11:49,1.03809,57.51256
2024-10-22 03:11:50,0.95613,57.02896
2024-10-22 03:11:51,1.03841,57.86548
2024-10-22 03:11:52,0.95883,57.87583
2024-10-22 03:11:53,1.03841,57.74087
2024-10-22 03:11:54,0.95913,57.92514
2024-10-22 03:11:55,1.03906,57.90955
2024-10-22 03:11:56,0.95853,57.86548
2024-10-22 03:11:57,1.03874,57.82909
2024-10-22 03:11:58,0.95883,57.79013
2024-10-22 03:11:59,1.03516,56.72915
2024-10-22 03:12:00,0.95493,56.50726
2024-10-22 03:12:01,1.04264,58.17949
2024-10-22 03:12:02,0.95913,58.02645
2024-10-22 03:12:03,1.03874,58.02385
2024-10-22 03:12:04,0.95823,57.72277
2024-10-22 03:12:05,1.03874,57.96931
2024-10-22 03:12:06,0.95883,58.05501
2024-10-22 03:12:07,1.03874,57.80571
2024-10-22 03:12:08,0.95883,57.21024
2024-10-22 03:12:09,1.03418,56.29557
2024-10-22 03:12:10,0.95703,57.68288
2024-10-22 03:12:11,1.03841,57.12291
2024-10-22 03:12:12,0.95883,58.39748
2024-10-22 03:12:13,1.03939,57.47764
2024-10-22 03:12:14,0.96244,58.14822
2024-10-22 03:12:15,1.03874,57.93815
2024-10-22 03:12:16,0.95853,57.81096
2024-10-22 03:12:17,1.03743,57.53874
2024-10-22 03:12:18,0.95913,57.98748
2024-10-22 03:12:19,1.03516,56.72139
2024-10-22 03:12:20,0.95643,57.02357
2024-10-22 03:12:21,0.95853,57.74087
2024-10-22 03:12:22,1.03874,57.64211
2024-10-22 03:12:23,0.95913,58.12775
2024-10-22 03:12:24,1.03874,57.86024
2024-10-22 03:12:25,0.95793,57.62684
2024-10-22 03:12:26,1.03841,57.84991
2024-10-22 03:12:27,0.96244,58.21077
2024-10-22 03:12:28,1.03483,56.64922
2024-10-22 03:12:29,0.95643,57.07797
2024-10-22 03:12:30,1.03874,57.88362
2024-10-22 03:12:31,0.95883,57.73560
2024-10-22 03:12:32,1.03874,57.78234
2024-10-22 03:12:33,0.95853,57.86548
2024-10-22 03:12:34,1.03874,57.82909
2024-10-22 03:12:35,0.95883,57.76676
2024-10-22 03:12:36,1.03841,57.74087
2024-10-22 03:12:37,0.95944,57.78738
2024-10-22 03:12:38,1.03711,57.23288
2024-10-22 03:12:39,0.95703,57.14494
2024-10-22 03:12:40,1.03971,56.92432
2024-10-22 03:12:41,0.95913,57.75370
2024-10-22 03:12:42,1.03874,57.78234
2024-10-22 03:12:43,0.95883,57.73560
2024-10-22 03:12:44,1.03874,57.80571
2024-10-22 03:12:45,0.95883,57.72781
2024-10-22 03:12:46,1.03841,57.70193
2024-10-22 03:12:47,0.96244,57.45635
2024-10-22 03:12:48,1.03971,58.05500
2024-10-22 03:12:49,0.95553,56.52730
2024-10-22 03:12:50,1.03613,56.89923
2024-10-22 03:12:51,0.95853,57.70972
2024-10-22 03:12:52,1.03874,57.75897
2024-10-22 03:12:53,0.96214,57.88772
2024-10-22 03:12:54,1.03841,57.71751
2024-10-22 03:12:55,0.95763,57.41424
2024-10-22 03:12:56,1.03809,57.75391
2024-10-22 03:12:57,0.95853,57.77202
2024-10-22 03:12:58,1.03939,58.02124
2024-10-22 03:12:59,0.95493,56.39864
2024-10-22 03:13:00,1.03516,56.76021
2024-10-22 03:13:01,0.95883,57.77455
2024-10-22 03:13:02,1.03841,57.75645
2024-10-22 03:13:03,0.95913,57.59004
2024-10-22 03:13:04,1.03776,57.46339
2024-10-22 03:13:05,0.96004,57.95618
2024-10-22 03:13:06,1.03809,57.63713
2024-10-22 03:13:07,0.96214,57.87990
2024-10-22 03:13:08,1.03874,57.74339
