Date,CPU Utilization,CPU Power
2024-10-22 04:39:48,0.95643,56.01334
2024-10-22 04:39:49,1.03776,57.77472
2024-10-22 04:39:50,0.95553,56.97759
2024-10-22 04:39:51,1.03809,57.94855
2024-10-22 04:39:52,0.95853,58.06797
2024-10-22 04:39:53,1.04232,58.38022
2024-10-22 04:39:54,0.95823,58.04977
2024-10-22 04:39:55,1.03743,57.68657
2024-10-22 04:39:56,0.95703,57.26157
2024-10-22 04:39:57,1.03906,58.12776
2024-10-22 04:39:58,0.95883,58.00827
2024-10-22 04:39:59,1.03320,56.18042
2024-10-22 04:40:00,1.03678,57.43264
2024-10-22 04:40:01,0.95733,57.68402
2024-10-22 04:40:02,1.03874,58.03164
2024-10-22 04:40:03,0.95763,57.61654
2024-10-22 04:40:04,1.03711,57.31067
2024-10-22 04:40:05,1.03874,57.92257
2024-10-22 04:40:06,0.96274,57.82280
2024-10-22 04:40:07,0.95703,57.60371
2024-10-22 04:40:08,1.03841,57.85769
2024-10-22 04:40:09,0.95523,57.51934
2024-10-22 04:40:10,1.03516,56.44420
2024-10-22 04:40:11,0.95823,58.46311
2024-10-22 04:40:12,1.04264,57.36344
2024-10-22 04:40:13,0.95823,57.78506
2024-10-22 04:40:14,1.03841,57.92000
2024-10-22 04:40:15,0.95944,58.09919
2024-10-22 04:40:16,1.03809,57.85513
2024-10-22 04:40:17,0.95883,57.92257
2024-10-22 04:40:18,1.03841,57.78760
2024-10-22 04:40:19,0.94832,54.34392
2024-10-22 04:40:20,1.03809,55.97100
2024-10-22 04:40:21,0.95823,56.00993
2024-10-22 04:40:22,1.03646,55.61118
2024-10-22 04:40:23,0.95913,56.36655
2024-10-22 04:40:24,1.03841,56.12095
2024-10-22 04:40:25,0.96154,55.70854
2024-10-22 04:40:26,1.03874,56.24761
2024-10-22 04:40:27,0.95853,56.12095
2024-10-22 04:40:28,1.03418,55.16315
2024-10-22 04:40:29,0.95823,55.87757
2024-10-22 04:40:30,1.03516,55.30840
2024-10-22 04:40:31,0.95913,56.18731
2024-10-22 04:40:32,1.03841,56.15989
2024-10-22 04:40:33,0.95913,56.39772
2024-10-22 04:40:34,1.03678,55.77638
2024-10-22 04:40:35,0.95853,56.29229
2024-10-22 04:40:36,1.03906,56.24965
2024-10-22 04:40:37,0.95763,56.06039
2024-10-22 04:40:38,1.04134,56.10746
2024-10-22 04:40:39,0.95643,55.48492
2024-10-22 04:40:40,1.03548,55.46558
2024-10-22 04:40:41,0.95913,55.97689
2024-10-22 04:40:42,1.03776,56.03906
2024-10-22 04:40:43,0.95853,56.19104
2024-10-22 04:40:44,1.03874,56.35667
2024-10-22 04:40:45,0.95823,56.34471
2024-10-22 04:40:46,1.03841,56.25335
2024-10-22 04:40:47,0.95703,55.83081
2024-10-22 04:40:48,1.03841,56.29229
