Date,CPU Utilization,CPU Power
2024-10-22 10:52:26,0.95883,56.72283
2024-10-22 10:52:27,1.03809,57.74613
2024-10-22 10:52:28,0.95823,57.68385
2024-10-22 10:52:29,1.03451,56.72451
2024-10-22 10:52:30,0.96214,58.13788
2024-10-22 10:52:31,1.03548,56.99551
2024-10-22 10:52:32,0.95883,57.93815
2024-10-22 10:52:33,1.03874,58.07059
2024-10-22 10:52:34,0.95883,58.14071
2024-10-22 10:52:35,1.03874,58.07059
2024-10-22 10:52:36,0.95853,58.03682
2024-10-22 10:52:37,1.03841,58.04461
2024-10-22 10:52:38,0.95853,58.16921
2024-10-22 10:52:39,1.03613,57.30333
2024-10-22 10:52:40,0.95853,57.82654
2024-10-22 10:52:41,1.03548,56.86349
2024-10-22 10:52:42,0.95883,58.02385
2024-10-22 10:52:43,1.03874,57.52648
2024-10-22 10:52:44,0.95853,57.99009
2024-10-22 10:52:45,1.03841,57.88885
2024-10-22 10:52:46,0.95823,57.97969
2024-10-22 10:52:47,1.03874,58.12512
2024-10-22 10:52:48,0.95763,57.63988
2024-10-22 10:52:49,1.03906,57.13805
2024-10-22 10:52:50,0.95913,58.16672
2024-10-22 10:52:51,1.03678,57.46375
2024-10-22 10:52:52,0.95733,57.56735
2024-10-22 10:52:53,1.03874,57.88362
2024-10-22 10:52:54,0.95883,57.92257
2024-10-22 10:52:55,1.03841,57.94337
2024-10-22 10:52:56,0.95944,58.13817
2024-10-22 10:52:57,1.03874,58.05501
2024-10-22 10:52:58,0.95853,57.92000
2024-10-22 10:52:59,1.03483,56.72683
2024-10-22 10:53:00,0.95944,58.18494
2024-10-22 10:53:01,1.03548,57.08094
2024-10-22 10:53:02,0.96244,57.72733
2024-10-22 10:53:03,1.03711,57.83959
2024-10-22 10:53:04,0.95883,58.08617
2024-10-22 10:53:05,1.03841,57.98230
2024-10-22 10:53:06,0.95853,57.92778
2024-10-22 10:53:07,1.03874,58.00048
2024-10-22 10:53:08,0.96124,57.79444
2024-10-22 10:53:09,1.03646,57.38352
2024-10-22 10:53:10,0.95853,58.09134
2024-10-22 10:53:11,1.03548,56.89455
2024-10-22 10:53:12,0.95823,57.62934
2024-10-22 10:53:13,1.03906,58.12776
2024-10-22 10:53:14,0.95853,57.99009
2024-10-22 10:53:15,1.03809,57.76949
2024-10-22 10:53:16,0.95883,57.99268
2024-10-22 10:53:17,1.03874,58.09396
2024-10-22 10:53:18,0.95913,58.02645
2024-10-22 10:53:19,1.03516,56.46519
2024-10-22 10:53:20,0.96154,57.97656
2024-10-22 10:53:21,0.95613,57.06004
2024-10-22 10:53:22,1.03874,58.09396
2024-10-22 10:53:23,1.03776,57.62683
2024-10-22 10:53:24,0.95853,57.88884
2024-10-22 10:53:25,0.95883,57.86024
2024-10-22 10:53:26,1.03906,58.14334
2024-10-22 10:53:27,0.95883,58.00827
2024-10-22 10:53:28,1.03743,57.60098
2024-10-22 10:53:29,0.95553,56.64375
2024-10-22 10:53:30,1.03841,58.14585
2024-10-22 10:53:31,0.95643,57.07797
2024-10-22 10:53:32,1.03874,58.19524
2024-10-22 10:53:33,0.95853,58.05239
2024-10-22 10:53:34,1.03906,58.15113
2024-10-22 10:53:35,0.95883,58.19524
2024-10-22 10:53:36,1.03874,58.09396
2024-10-22 10:53:37,0.95853,58.10691
2024-10-22 10:53:38,1.03809,57.87848
2024-10-22 10:53:39,0.95763,56.63616
2024-10-22 10:53:40,1.03743,57.77994
2024-10-22 10:53:41,0.95733,57.41956
2024-10-22 10:53:42,1.03646,56.97930
2024-10-22 10:53:43,0.95883,58.16407
2024-10-22 10:53:44,1.03841,58.27047
2024-10-22 10:53:45,0.95853,58.09912
2024-10-22 10:53:46,1.03841,58.08355
2024-10-22 10:53:47,0.95853,57.86548
2024-10-22 10:53:48,1.03646,57.35242
2024-10-22 10:53:49,0.95793,57.79807
2024-10-22 10:53:50,1.03874,57.91478
2024-10-22 10:53:51,0.95553,56.93877
2024-10-22 10:53:52,1.04134,57.91940
2024-10-22 10:53:53,0.95913,58.36155
2024-10-22 10:53:54,1.03841,58.00567
2024-10-22 10:53:55,0.95853,57.98230
