Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-22 03:01:14,0.96154,56.60938,56.60938,0.00000
2024-10-22 03:01:15,1.04167,57.62891,57.62891,0.00000
2024-10-22 03:01:16,0.96154,57.87500,57.87500,0.00000
2024-10-22 03:01:17,1.04167,57.83984,57.83984,0.00000
2024-10-22 03:01:18,0.96154,56.99609,56.99609,0.00000
2024-10-22 03:01:19,1.04167,57.32422,57.32422,0.00000
2024-10-22 03:01:20,0.96154,57.80078,57.80078,0.00000
2024-10-22 03:01:21,1.04167,57.83203,57.83203,0.00000
2024-10-22 03:01:22,0.96154,58.18750,58.18750,0.00000
2024-10-22 03:01:23,1.04167,58.14844,58.14844,0.00000
2024-10-22 03:01:24,0.96154,57.92188,57.92188,0.00000
2024-10-22 03:01:25,1.04167,58.02734,58.02734,0.00000
2024-10-22 03:01:26,0.96154,58.09766,58.09766,0.00000
2024-10-22 03:01:27,1.04167,57.97656,57.97656,0.00000
2024-10-22 03:01:28,0.96154,58.10547,58.10547,0.00000
2024-10-22 03:01:29,1.04167,56.73828,56.73828,0.00000
2024-10-22 03:01:30,0.96154,57.46875,57.46875,0.00000
2024-10-22 03:01:31,1.04167,58.23438,58.23438,0.00000
2024-10-22 03:01:32,0.96154,58.03516,58.03516,0.00000
2024-10-22 03:01:33,1.04167,58.10938,58.10938,0.00000
2024-10-22 03:01:34,0.96154,58.05469,58.05469,0.00000
2024-10-22 03:01:35,1.04167,58.27344,58.27344,0.00000
2024-10-22 03:01:36,0.96154,58.20313,58.20313,0.00000
2024-10-22 03:01:37,1.04167,58.13281,58.13281,0.00000
2024-10-22 03:01:38,0.96154,57.96875,57.96875,0.00000
2024-10-22 03:01:39,1.04167,56.16406,56.16406,0.00000
2024-10-22 03:01:40,0.96154,57.89453,57.89453,0.00000
2024-10-22 03:01:41,1.04167,58.35547,58.35547,0.00000
2024-10-22 03:01:42,0.96154,57.83594,57.83594,0.00000
2024-10-22 03:01:43,1.04167,57.94141,57.94141,0.00000
2024-10-22 03:01:44,0.96154,58.13672,58.13672,0.00000
2024-10-22 03:01:45,0.96154,57.86719,57.86719,0.00000
2024-10-22 03:01:46,1.04167,57.90625,57.90625,0.00000
2024-10-22 03:01:47,0.96154,58.04688,58.04688,0.00000
2024-10-22 03:01:48,1.04167,57.93359,57.93359,0.00000
2024-10-22 03:01:49,0.96154,57.26563,57.26563,0.00000
2024-10-22 03:01:50,1.04167,57.16406,57.16406,0.00000
2024-10-22 03:01:51,0.96154,57.80859,57.80859,0.00000
2024-10-22 03:01:52,1.04167,57.94922,57.94922,0.00000
2024-10-22 03:01:53,0.96154,57.96484,57.96484,0.00000
2024-10-22 03:01:54,1.04167,58.13672,58.13672,0.00000
2024-10-22 03:01:55,0.96154,57.95703,57.95703,0.00000
2024-10-22 03:01:56,1.04167,58.07031,58.07031,0.00000
2024-10-22 03:01:57,0.96154,57.99219,57.99219,0.00000
2024-10-22 03:01:58,1.04167,57.22266,57.22266,0.00000
2024-10-22 03:01:59,0.96154,58.17578,58.17578,0.00000
2024-10-22 03:02:00,1.04167,57.04297,57.04297,0.00000
2024-10-22 03:02:01,0.96154,57.84766,57.84766,0.00000
2024-10-22 03:02:02,1.04167,57.84375,57.84375,0.00000
2024-10-22 03:02:03,0.96154,57.85547,57.85547,0.00000
2024-10-22 03:02:04,1.04167,57.94531,57.94531,0.00000
2024-10-22 03:02:05,0.96154,58.03516,58.03516,0.00000
2024-10-22 03:02:06,1.04167,58.01563,58.01563,0.00000
2024-10-22 03:02:07,0.96154,57.97656,57.97656,0.00000
2024-10-22 03:02:08,1.04167,57.46094,57.46094,0.00000
2024-10-22 03:02:09,0.96154,56.55078,56.55078,0.00000
2024-10-22 03:02:10,1.04167,57.24219,57.24219,0.00000
2024-10-22 03:02:11,0.96154,57.79297,57.79297,0.00000
2024-10-22 03:02:12,1.04167,57.92578,57.92578,0.00000
2024-10-22 03:02:13,0.96154,57.73438,57.73438,0.00000
2024-10-22 03:02:14,1.04167,57.89453,57.89453,0.00000
2024-10-22 03:02:15,0.96154,58.01563,58.01563,0.00000
2024-10-22 03:02:16,1.04167,58.10547,58.10547,0.00000
2024-10-22 03:02:17,0.96154,58.06641,58.06641,0.00000
2024-10-22 03:02:18,1.04167,57.98438,57.98438,0.00000
2024-10-22 03:02:19,0.96154,56.89844,56.89844,0.00000
2024-10-22 03:02:20,1.04167,57.34375,57.34375,0.00000
2024-10-22 03:02:21,0.96154,58.16016,58.16016,0.00000
2024-10-22 03:02:22,1.04167,57.68359,57.68359,0.00000
2024-10-22 03:02:23,0.96154,57.69141,57.69141,0.00000
2024-10-22 03:02:24,1.04167,58.08203,58.08203,0.00000
2024-10-22 03:02:25,0.96154,57.68359,57.68359,0.00000
2024-10-22 03:02:26,1.04167,57.65625,57.65625,0.00000
2024-10-22 03:02:27,0.96154,57.72266,57.72266,0.00000
2024-10-22 03:02:28,1.04167,57.66797,57.66797,0.00000
2024-10-22 03:02:29,0.96154,56.95313,56.95313,0.00000
2024-10-22 03:02:30,1.04167,57.10938,57.10938,0.00000
2024-10-22 03:02:31,0.96154,58.05078,58.05078,0.00000
2024-10-22 03:02:32,1.04167,58.01563,58.01563,0.00000
2024-10-22 03:02:33,0.96154,58.08594,58.08594,0.00000
2024-10-22 03:02:34,1.04167,58.16406,58.16406,0.00000
2024-10-22 03:02:35,0.96154,58.27344,58.27344,0.00000
2024-10-22 03:02:36,1.04167,58.08203,58.08203,0.00000
2024-10-22 03:02:37,0.95192,58.04688,58.04688,0.00000
2024-10-22 03:02:38,1.05208,56.92578,56.92578,0.00000
2024-10-22 03:02:39,0.95192,57.53906,57.53906,0.00000
2024-10-22 03:02:40,1.04167,57.53125,57.53125,0.00000
2024-10-22 03:02:41,0.96154,58.04297,58.04297,0.00000
2024-10-22 03:02:42,1.04167,58.16016,58.16016,0.00000
2024-10-22 03:02:43,0.97115,58.04297,58.04297,0.00000
2024-10-22 03:02:44,1.04167,58.08984,58.08984,0.00000
2024-10-22 03:02:45,0.96154,58.15625,58.15625,0.00000
2024-10-22 03:02:46,1.04167,58.05078,58.05078,0.00000
2024-10-22 03:02:47,0.96154,57.96875,57.96875,0.00000
2024-10-22 03:02:48,1.04167,57.61328,57.61328,0.00000
2024-10-22 03:02:49,0.96154,57.30469,57.30469,0.00000
2024-10-22 03:02:50,0.96154,57.13281,57.13281,0.00000
2024-10-22 03:02:51,1.04167,57.93750,57.93750,0.00000
2024-10-22 03:02:52,0.96154,57.90625,57.90625,0.00000
2024-10-22 03:02:53,1.04167,58.34766,58.34766,0.00000
2024-10-22 03:02:54,0.96154,58.00000,58.00000,0.00000
2024-10-22 03:02:55,1.04167,57.89453,57.89453,0.00000
2024-10-22 03:02:56,0.96154,57.81641,57.81641,0.00000
2024-10-22 03:02:57,1.04167,58.05078,58.05078,0.00000
2024-10-22 03:02:58,0.96154,57.88281,57.88281,0.00000
2024-10-22 03:02:59,1.04167,56.56641,56.56641,0.00000
2024-10-22 03:03:00,0.96154,57.96875,57.96875,0.00000
2024-10-22 03:03:01,1.04167,58.15625,58.15625,0.00000
2024-10-22 03:03:02,0.96154,57.70703,57.70703,0.00000
2024-10-22 03:03:03,1.04167,57.53906,57.53906,0.00000
2024-10-22 03:03:04,0.96154,57.88672,57.88672,0.00000
2024-10-22 03:03:05,1.04167,57.61719,57.61719,0.00000
2024-10-22 03:03:06,0.96154,57.94531,57.94531,0.00000
2024-10-22 03:03:07,1.04167,57.92188,57.92188,0.00000
2024-10-22 03:03:08,0.96154,57.94141,57.94141,0.00000
2024-10-22 03:03:09,1.04167,56.35938,56.35938,0.00000
2024-10-22 03:03:10,0.96154,57.03516,57.03516,0.00000
2024-10-22 03:03:11,1.04167,57.69922,57.69922,0.00000
2024-10-22 03:03:12,0.96154,58.12891,58.12891,0.00000
2024-10-22 03:03:13,1.04167,57.89453,57.89453,0.00000
2024-10-22 03:03:14,0.96154,58.08984,58.08984,0.00000
2024-10-22 03:03:15,1.04167,57.98438,57.98438,0.00000
2024-10-22 03:03:16,0.96154,58.01563,58.01563,0.00000
2024-10-22 03:03:17,1.04167,57.75391,57.75391,0.00000
2024-10-22 03:03:18,0.96154,56.61328,56.61328,0.00000
2024-10-22 03:03:19,1.04167,57.67969,57.67969,0.00000
2024-10-22 03:03:20,0.96154,57.08203,57.08203,0.00000
2024-10-22 03:03:21,1.04167,57.97656,57.97656,0.00000
2024-10-22 03:03:22,0.96154,57.87109,57.87109,0.00000
2024-10-22 03:03:23,1.04167,57.96094,57.96094,0.00000
2024-10-22 03:03:24,0.96154,57.89453,57.89453,0.00000
2024-10-22 03:03:25,1.04167,57.90234,57.90234,0.00000
2024-10-22 03:03:26,0.96154,58.00781,58.00781,0.00000
2024-10-22 03:03:27,1.04167,57.80859,57.80859,0.00000
2024-10-22 03:03:28,0.96154,57.42969,57.42969,0.00000
2024-10-22 03:03:29,1.04167,57.42969,57.42969,0.00000
2024-10-22 03:03:30,0.96154,58.10547,58.10547,0.00000
2024-10-22 03:03:31,1.04167,58.00000,58.00000,0.00000
2024-10-22 03:03:32,0.96154,57.26953,57.26953,0.00000
2024-10-22 03:03:33,1.04167,57.86719,57.86719,0.00000
2024-10-22 03:03:34,0.96154,57.75391,57.75391,0.00000
2024-10-22 03:03:35,1.04167,57.76953,57.76953,0.00000
2024-10-22 03:03:36,0.96154,57.92578,57.92578,0.00000
2024-10-22 03:03:37,1.04167,57.91016,57.91016,0.00000
2024-10-22 03:03:38,0.96154,57.96484,57.96484,0.00000
2024-10-22 03:03:39,1.04167,56.73438,56.73438,0.00000
2024-10-22 03:03:40,0.96154,57.07031,57.07031,0.00000
2024-10-22 03:03:41,1.04167,57.94531,57.94531,0.00000
2024-10-22 03:03:42,0.96154,57.55859,57.55859,0.00000
2024-10-22 03:03:43,1.04167,58.01172,58.01172,0.00000
2024-10-22 03:03:44,0.96154,57.94531,57.94531,0.00000
2024-10-22 03:03:45,1.04167,57.87109,57.87109,0.00000
2024-10-22 03:03:46,0.97115,57.70703,57.70703,0.00000
2024-10-22 03:03:47,1.04167,57.96484,57.96484,0.00000
2024-10-22 03:03:48,0.96154,58.14453,58.14453,0.00000
2024-10-22 03:03:49,1.04167,56.78125,56.78125,0.00000
2024-10-22 03:03:50,0.96154,57.02734,57.02734,0.00000
