cpu_usage,mem_usage
3062.0,138652.0
3228.0,148016.0
3288.0,149580.0
3312.0,150544.0
3330.0,151916.0
3335.0,152028.0
3346.0,152028.0
3352.0,152028.0
3351.0,152032.0
3048.0,152112.0
3078.0,152204.0
3104.0,152676.0
3124.0,152752.0
3141.0,153004.0
3155.0,153144.0
3167.0,153504.0
3182.0,153960.0
3192.0,154220.0
3201.0,154220.0
3208.0,154224.0
3214.0,154224.0
3221.0,154640.0
3227.0,154640.0
3232.0,154640.0
3238.0,154672.0
3241.0,154688.0
3135.0,154688.0
3143.0,154688.0
3150.0,154688.0
3158.0,154688.0
3165.0,154696.0
3171.0,154772.0
3177.0,154772.0
3182.0,154772.0
3187.0,155068.0
3193.0,155068.0
3197.0,155156.0
3202.0,155356.0
3207.0,155356.0
3210.0,155356.0
3214.0,155356.0
3218.0,155396.0
3221.0,155396.0
3157.0,155436.0
3161.0,155436.0
3166.0,155436.0
3170.0,155512.0
3175.0,155512.0
3179.0,155748.0
3183.0,155748.0
3186.0,155772.0
3191.0,155772.0
3193.0,155772.0
3196.0,155772.0
3200.0,155772.0
3203.0,155888.0
3207.0,155888.0
3211.0,155892.0
3162.0,155892.0
3166.0,155892.0
3169.0,155980.0
3172.0,155980.0
3175.0,155980.0
3179.0,155984.0
3182.0,155984.0
3185.0,155984.0
3188.0,155984.0
3191.0,155984.0
3193.0,155992.0
3196.0,155992.0
3199.0,155992.0
3201.0,155992.0
3204.0,155992.0
3206.0,155992.0
3169.0,155992.0
3171.0,155992.0
3173.0,155992.0
3176.0,155992.0
3178.0,155992.0
3180.0,155992.0
3182.0,155992.0
3185.0,155992.0
3187.0,155992.0
3189.0,155992.0
3191.0,155996.0
3193.0,155996.0
3196.0,155996.0
3198.0,155996.0
3200.0,155996.0
3202.0,156004.0
3203.0,156004.0
3173.0,156004.0
3175.0,156004.0
3177.0,156004.0
3179.0,156004.0
3181.0,156008.0
3183.0,156008.0
3185.0,156008.0
3187.0,156012.0
3189.0,156012.0
3191.0,156012.0
3192.0,156012.0
3194.0,156012.0
3196.0,156012.0
3198.0,156012.0
3200.0,156012.0
3173.0,156012.0
3176.0,156016.0
3177.0,156020.0
3179.0,156020.0
3181.0,156020.0
3183.0,156020.0
3185.0,156020.0
3186.0,156020.0
3188.0,156020.0
3189.0,156020.0
3191.0,156020.0
3192.0,156020.0
3194.0,156020.0
3195.0,156384.0
3197.0,156384.0
3199.0,156384.0
3176.0,156480.0
3177.0,156480.0
3179.0,156480.0
3180.0,156480.0
3181.0,156480.0
3183.0,156492.0
3184.0,156492.0
3186.0,156536.0
3187.0,156536.0
3188.0,156580.0
3189.0,156580.0
3191.0,156580.0
3192.0,156580.0
3193.0,156580.0
3195.0,156580.0
3196.0,156580.0
3197.0,156580.0
3177.0,156580.0
3178.0,156580.0
3180.0,156580.0
3181.0,156580.0
