Date,CPU Utilization,CPU Power
2024-10-22 01:38:44,0.95763,56.29576
2024-10-22 01:38:45,1.03874,57.55252
2024-10-22 01:38:46,0.95883,57.59537
2024-10-22 01:38:47,1.03841,57.40793
2024-10-22 01:38:48,0.95433,56.48721
2024-10-22 01:38:49,1.04069,57.11633
2024-10-22 01:38:50,0.95883,57.84272
2024-10-22 01:38:51,1.03874,57.77650
2024-10-22 01:38:52,0.95823,57.62156
2024-10-22 01:38:53,1.03906,57.90760
2024-10-22 01:38:54,0.95944,58.01929
2024-10-22 01:38:55,1.03841,57.88690
2024-10-22 01:38:56,0.95883,57.84272
2024-10-22 01:38:57,1.03841,57.77787
2024-10-22 01:38:58,0.95553,56.51759
2024-10-22 01:38:59,1.03613,56.80598
2024-10-22 01:39:00,0.95823,57.76754
2024-10-22 01:39:01,1.03874,57.99074
2024-10-22 01:39:02,0.96274,58.16441
2024-10-22 01:39:03,1.03841,57.92584
2024-10-22 01:39:04,0.95913,57.91150
2024-10-22 01:39:05,1.03841,57.77398
2024-10-22 01:39:06,0.95883,57.86414
2024-10-22 01:39:07,1.03711,57.73264
2024-10-22 01:39:08,0.95282,56.20280
2024-10-22 01:39:09,1.04264,58.07588
2024-10-22 01:39:10,0.95883,58.01801
2024-10-22 01:39:11,1.03874,58.01411
2024-10-22 01:39:12,0.95913,58.13750
2024-10-22 01:39:13,1.03874,57.93036
2024-10-22 01:39:14,0.95853,58.04655
2024-10-22 01:39:15,1.04297,57.66016
2024-10-22 01:39:16,0.95853,57.84211
2024-10-22 01:39:17,1.03906,58.06152
2024-10-22 01:39:18,0.95403,56.07604
2024-10-22 01:39:19,1.03711,57.51290
2024-10-22 01:39:20,0.95913,58.15308
2024-10-22 01:39:21,1.03874,58.06475
2024-10-22 01:39:22,0.95853,57.73113
2024-10-22 01:39:23,0.95883,57.90699
2024-10-22 01:39:24,1.03874,57.85051
2024-10-22 01:39:25,0.95883,57.88946
2024-10-22 01:39:26,1.03841,57.89080
2024-10-22 01:39:27,0.95883,57.95958
2024-10-22 01:39:28,1.03646,56.42739
2024-10-22 01:39:29,0.95853,57.53643
2024-10-22 01:39:30,1.03906,58.07905
2024-10-22 01:39:31,0.95883,57.94010
2024-10-22 01:39:32,1.03841,57.77787
2024-10-22 01:39:33,0.95883,57.74534
2024-10-22 01:39:34,1.03906,58.02060
2024-10-22 01:39:35,0.95913,58.03424
2024-10-22 01:39:36,1.03711,57.51290
2024-10-22 01:39:37,0.95853,57.87521
2024-10-22 01:39:38,1.03288,56.05427
2024-10-22 01:39:39,0.95853,58.03292
2024-10-22 01:39:40,1.03874,58.03943
2024-10-22 01:39:41,0.96244,58.31243
2024-10-22 01:39:42,1.03841,57.97062
2024-10-22 01:39:43,0.95883,57.95374
2024-10-22 01:39:44,1.03874,58.01801
2024-10-22 01:39:45,0.95823,57.81620
2024-10-22 01:39:46,1.03874,58.00048
2024-10-22 01:39:47,0.95883,57.87778
2024-10-22 01:39:48,1.03548,56.84795
2024-10-22 01:39:49,0.95583,57.04404
2024-10-22 01:39:50,1.03874,57.84272
2024-10-22 01:39:51,0.95883,57.87973
2024-10-22 01:39:52,1.03906,58.00307
2024-10-22 01:39:53,0.95853,57.82849
2024-10-22 01:39:54,1.04264,58.16190
2024-10-22 01:39:55,0.95883,57.97321
2024-10-22 01:39:56,1.03939,58.13038
2024-10-22 01:39:57,0.95853,57.75450
2024-10-22 01:39:58,1.03223,56.01894
2024-10-22 01:39:59,0.95853,57.71361
2024-10-22 01:40:00,1.04199,57.80322
2024-10-22 01:40:01,0.95853,57.92583
2024-10-22 01:40:02,1.03841,57.76814
2024-10-22 01:40:03,0.95883,57.96931
2024-10-22 01:40:04,1.03841,57.74671
2024-10-22 01:40:05,0.95913,57.77123
