__run_id,__done,force_field,algorithm,em_steps,exec_time,cpu_usage,mem_usage,energy_usage,accuracy
run_0_repetition_7,DONE,All-Atom,Leap Frog,500, , , , , 
run_1_repetition_7,DONE,All-Atom,Leap Frog,2500, , , , , 
run_2_repetition_7,DONE,All-Atom,Leap Frog,5000, , , , , 
run_3_repetition_7,DONE,All-Atom,Steep Decent,500, , , , , 
run_4_repetition_7,DONE,All-Atom,Steep Decent,2500, , , , , 
run_5_repetition_7,DONE,All-Atom,Steep Decent,5000, , , , , 
run_6_repetition_7,DONE,Coarse-Grained,Leap Frog,500, , , , , 
run_7_repetition_7,DONE,Coarse-Grained,Leap Frog,2500, , , , , 
run_8_repetition_7,DONE,Coarse-Grained,Leap Frog,5000, , , , , 
run_9_repetition_7,DONE,Coarse-Grained,Steep Decent,500, , , , , 
run_10_repetition_7,DONE,Coarse-Grained,Steep Decent,2500, , , , , 
run_11_repetition_7,DONE,Coarse-Grained,Steep Decent,5000, , , , , 
run_0_repetition_8,DONE,All-Atom,Leap Frog,500, , , , , 
run_1_repetition_8,DONE,All-Atom,Leap Frog,2500, , , , , 
run_2_repetition_8,DONE,All-Atom,Leap Frog,5000, , , , , 
run_3_repetition_8,DONE,All-Atom,Steep Decent,500, , , , , 
run_4_repetition_8,DONE,All-Atom,Steep Decent,2500, , , , , 
run_5_repetition_8,DONE,All-Atom,Steep Decent,5000, , , , , 
run_6_repetition_8,DONE,Coarse-Grained,Leap Frog,500, , , , , 
run_7_repetition_8,DONE,Coarse-Grained,Leap Frog,2500, , , , , 
run_8_repetition_8,DONE,Coarse-Grained,Leap Frog,5000, , , , , 
run_9_repetition_8,DONE,Coarse-Grained,Steep Decent,500, , , , , 
run_10_repetition_8,DONE,Coarse-Grained,Steep Decent,2500, , , , , 
run_11_repetition_8,DONE,Coarse-Grained,Steep Decent,5000, , , , , 
run_0_repetition_9,DONE,All-Atom,Leap Frog,500, , , , , 
run_1_repetition_9,DONE,All-Atom,Leap Frog,2500, , , , , 
run_2_repetition_9,DONE,All-Atom,Leap Frog,5000, , , , , 
run_3_repetition_9,DONE,All-Atom,Steep Decent,500, , , , , 
run_4_repetition_9,DONE,All-Atom,Steep Decent,2500, , , , , 
run_5_repetition_9,DONE,All-Atom,Steep Decent,5000, , , , , 
run_6_repetition_9,DONE,Coarse-Grained,Leap Frog,500, , , , , 
run_7_repetition_9,DONE,Coarse-Grained,Leap Frog,2500, , , , , 
run_8_repetition_9,DONE,Coarse-Grained,Leap Frog,5000, , , , , 
run_9_repetition_9,DONE,Coarse-Grained,Steep Decent,500, , , , , 
run_10_repetition_9,DONE,Coarse-Grained,Steep Decent,2500, , , , , 
run_11_repetition_9,DONE,Coarse-Grained,Steep Decent,5000, , , , , 
