cpu_usage,mem_usage
3007.0,128204.0
3203.0,148476.0
2440.0,149664.0
2628.0,149980.0
2751.0,151880.0
2845.0,152064.0
2915.0,152252.0
2972.0,152392.0
3011.0,152392.0
3042.0,152400.0
3070.0,152832.0
3094.0,152984.0
3111.0,152984.0
3126.0,153128.0
3142.0,153144.0
3158.0,153472.0
3172.0,153476.0
3181.0,153820.0
3190.0,153820.0
3053.0,153820.0
3068.0,153864.0
3082.0,153864.0
3094.0,153864.0
3104.0,153868.0
3113.0,153868.0
3122.0,154368.0
3130.0,154368.0
3139.0,154420.0
3147.0,154420.0
3154.0,154424.0
3162.0,154424.0
3167.0,154424.0
3175.0,154676.0
3181.0,154684.0
3185.0,154688.0
3191.0,154688.0
3116.0,154688.0
3122.0,154788.0
3128.0,154848.0
3134.0,154848.0
3140.0,154848.0
3146.0,154848.0
3150.0,154848.0
3156.0,154852.0
3161.0,154852.0
3165.0,154852.0
3169.0,154852.0
3173.0,154852.0
3177.0,154852.0
3181.0,154852.0
3185.0,154880.0
3188.0,154880.0
3191.0,155128.0
3140.0,155128.0
3144.0,155128.0
3148.0,155132.0
3152.0,155132.0
3155.0,155132.0
3159.0,155144.0
3162.0,155312.0
3165.0,155312.0
3169.0,155312.0
3173.0,155312.0
3176.0,155312.0
3179.0,155312.0
3182.0,155312.0
3185.0,155312.0
3188.0,155312.0
3147.0,155312.0
3150.0,155312.0
3153.0,156192.0
3155.0,156192.0
3158.0,156192.0
3161.0,156192.0
3164.0,156192.0
3167.0,156192.0
3169.0,156192.0
3171.0,156192.0
3174.0,156192.0
3176.0,156192.0
3179.0,156200.0
3181.0,156200.0
3184.0,156200.0
3186.0,156200.0
3188.0,156240.0
3155.0,156240.0
3158.0,156240.0
3160.0,156240.0
3163.0,156240.0
3165.0,156240.0
3167.0,156240.0
3170.0,156324.0
3172.0,156328.0
3175.0,156516.0
3177.0,156516.0
3179.0,156516.0
3181.0,156516.0
3183.0,156516.0
3185.0,156516.0
3187.0,156516.0
3189.0,156520.0
3162.0,156520.0
3164.0,156520.0
3166.0,156520.0
3168.0,156520.0
3169.0,156520.0
3171.0,156520.0
3174.0,156520.0
3176.0,156520.0
3177.0,156532.0
3179.0,156532.0
3181.0,156532.0
3183.0,156532.0
3184.0,156532.0
3186.0,156532.0
3188.0,156532.0
3164.0,156532.0
3166.0,156536.0
3167.0,156536.0
3169.0,156536.0
3171.0,156536.0
3173.0,156908.0
3174.0,156908.0
3175.0,156908.0
3177.0,156908.0
3178.0,157112.0
3180.0,157112.0
3182.0,157120.0
3183.0,157120.0
3185.0,157120.0
3186.0,157124.0
3187.0,157124.0
3189.0,157128.0
3168.0,157128.0
3169.0,157128.0
3171.0,157128.0
3172.0,157128.0
3174.0,157128.0
3176.0,157128.0
3177.0,157128.0
3178.0,157128.0
3180.0,157128.0
3181.0,157128.0
3183.0,157128.0
3184.0,157128.0
3185.0,157128.0
3186.0,157128.0
3187.0,157128.0
3188.0,157128.0
3170.0,157128.0
3171.0,157128.0
3172.0,157128.0
3173.0,157128.0
3175.0,157128.0
3176.0,157128.0
3177.0,157128.0
3179.0,157140.0
3180.0,157140.0
3181.0,157140.0
3182.0,157140.0
3183.0,157140.0
3185.0,157140.0
3186.0,157140.0
3187.0,157140.0
3188.0,157140.0
3171.0,157140.0
3172.0,157140.0
3174.0,157140.0
3175.0,157140.0
3176.0,157140.0
3177.0,157140.0
3178.0,157140.0
3180.0,157140.0
3181.0,157140.0
3182.0,157140.0
3183.0,157140.0
3184.0,157140.0
3185.0,157140.0
3186.0,157140.0
3187.0,157140.0
3188.0,157140.0
3173.0,157140.0
3174.0,157140.0
3175.0,157140.0
3176.0,157140.0
3177.0,157140.0
3178.0,157140.0
3179.0,157148.0
3180.0,157148.0
3181.0,157148.0
3182.0,157148.0
3183.0,157148.0
3184.0,157152.0
3185.0,157296.0
3186.0,157296.0
3187.0,157296.0
3188.0,157296.0
3174.0,157296.0
3175.0,157296.0
3175.0,157296.0
3176.0,157360.0
3177.0,157564.0
3178.0,157564.0
3179.0,157564.0
3180.0,157564.0
3181.0,157564.0
3182.0,157580.0
3183.0,157580.0
3183.0,157580.0
3185.0,157580.0
3186.0,157580.0
3187.0,157580.0
3187.0,157580.0
3188.0,157580.0
3175.0,157580.0
3176.0,157592.0
3177.0,157592.0
3178.0,157592.0
3179.0,157592.0
3180.0,157592.0
3181.0,157592.0
3182.0,157592.0
3182.0,157592.0
3183.0,157592.0
3184.0,157668.0
3185.0,157668.0
3185.0,157756.0
3186.0,157756.0
3187.0,157756.0
3188.0,157756.0
3176.0,157756.0
3176.0,157756.0
3177.0,157756.0
3178.0,157760.0
3179.0,157760.0
3180.0,157760.0
3181.0,157760.0
3182.0,157760.0
3182.0,157760.0
3183.0,157760.0
3184.0,157760.0
3185.0,157760.0
3185.0,157760.0
3186.0,157760.0
3187.0,157848.0
3188.0,157848.0
3176.0,157848.0
3177.0,157848.0
3178.0,157848.0
3178.0,157848.0
3179.0,157848.0
3180.0,157848.0
3181.0,157848.0
3181.0,157848.0
3183.0,157848.0
3183.0,157848.0
3184.0,157848.0
3185.0,157848.0
3185.0,157888.0
3186.0,157888.0
3187.0,157888.0
3187.0,158008.0
3188.0,158008.0
3177.0,158008.0
3178.0,158008.0
3179.0,158008.0
3179.0,158008.0
3180.0,158008.0
3181.0,158008.0
3182.0,158008.0
3183.0,158008.0
3183.0,158008.0
3184.0,158008.0
3185.0,158008.0
3185.0,158008.0
3186.0,158008.0
3186.0,158008.0
3187.0,158008.0
3188.0,158008.0
3178.0,158008.0
3179.0,158008.0
3179.0,158008.0
3180.0,158008.0
3180.0,158008.0
3181.0,158008.0
3182.0,158008.0
3182.0,158008.0
3183.0,158008.0
3184.0,158008.0
3184.0,158008.0
3185.0,158008.0
3186.0,158008.0
3186.0,158008.0
3187.0,158008.0
3187.0,158008.0
3188.0,158008.0
3178.0,158008.0
3179.0,158008.0
3180.0,158008.0
3180.0,158008.0
3181.0,158008.0
3182.0,158008.0
3182.0,158008.0
3183.0,158008.0
3184.0,158008.0
3184.0,158008.0
3185.0,158008.0
3186.0,158008.0
3186.0,158008.0
