Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-22 07:54:37,0.96154,57.13672,57.13672,0.00000
2024-10-22 07:54:38,1.04167,56.93164,56.93164,0.00000
2024-10-22 07:54:39,0.96154,58.34668,58.34668,0.00000
2024-10-22 07:54:40,1.04167,58.32129,58.32129,0.00000
2024-10-22 07:54:41,0.96154,57.26270,57.26270,0.00000
2024-10-22 07:54:42,1.04167,58.29688,58.29688,0.00000
2024-10-22 07:54:43,0.96154,58.31934,58.31934,0.00000
2024-10-22 07:54:44,1.04167,58.23145,58.23145,0.00000
2024-10-22 07:54:45,0.96154,58.00781,58.00781,0.00000
2024-10-22 07:54:46,1.04167,58.38672,58.38672,0.00000
2024-10-22 07:54:47,0.96154,58.36914,58.36914,0.00000
2024-10-22 07:54:48,1.04167,58.14355,58.14355,0.00000
2024-10-22 07:54:49,0.96154,57.97168,57.97168,0.00000
2024-10-22 07:54:50,1.04167,57.78516,57.78516,0.00000
2024-10-22 07:54:51,0.96154,58.27832,58.27832,0.00000
2024-10-22 07:54:52,1.04167,58.39063,58.39063,0.00000
2024-10-22 07:54:53,0.96154,58.41602,58.41602,0.00000
2024-10-22 07:54:54,1.04167,58.43164,58.43164,0.00000
2024-10-22 07:54:55,0.96154,58.66406,58.66406,0.00000
2024-10-22 07:54:56,0.96154,58.49219,58.49219,0.00000
2024-10-22 07:54:57,1.04167,58.46680,58.46680,0.00000
2024-10-22 07:54:58,0.96154,58.44531,58.44531,0.00000
2024-10-22 07:54:59,1.04167,57.42578,57.42578,0.00000
2024-10-22 07:55:00,0.96154,58.34961,58.34961,0.00000
2024-10-22 07:55:01,1.04167,57.39258,57.39258,0.00000
2024-10-22 07:55:02,0.96154,58.52148,58.52148,0.00000
2024-10-22 07:55:03,1.04167,58.58008,58.58008,0.00000
2024-10-22 07:55:04,0.96154,58.58008,58.58008,0.00000
2024-10-22 07:55:05,1.04167,58.30273,58.30273,0.00000
2024-10-22 07:55:06,0.96154,58.56836,58.56836,0.00000
2024-10-22 07:55:07,1.04167,58.58203,58.58203,0.00000
2024-10-22 07:55:08,0.96154,58.35547,58.35547,0.00000
2024-10-22 07:55:09,1.04167,57.40625,57.40625,0.00000
2024-10-22 07:55:10,0.96154,58.47852,58.47852,0.00000
2024-10-22 07:55:11,1.04167,57.75000,57.75000,0.00000
2024-10-22 07:55:12,0.96154,58.56055,58.56055,0.00000
2024-10-22 07:55:13,1.04167,58.53711,58.53711,0.00000
2024-10-22 07:55:14,0.96154,57.56836,57.56836,0.00000
2024-10-22 07:55:15,1.04167,58.27344,58.27344,0.00000
2024-10-22 07:55:16,0.96154,58.39648,58.39648,0.00000
2024-10-22 07:55:17,1.04167,58.32617,58.32617,0.00000
2024-10-22 07:55:18,0.96154,57.54492,57.54492,0.00000
2024-10-22 07:55:19,1.04167,58.19531,58.19531,0.00000
2024-10-22 07:55:20,0.96154,57.89844,57.89844,0.00000
2024-10-22 07:55:21,1.04167,58.08203,58.08203,0.00000
2024-10-22 07:55:22,0.96154,58.47656,58.47656,0.00000
2024-10-22 07:55:23,1.04167,58.50391,58.50391,0.00000
2024-10-22 07:55:24,0.96154,58.46094,58.46094,0.00000
2024-10-22 07:55:25,1.04167,58.52539,58.52539,0.00000
2024-10-22 07:55:26,0.96154,58.49023,58.49023,0.00000
2024-10-22 07:55:27,1.04167,58.26172,58.26172,0.00000
2024-10-22 07:55:28,0.96154,57.40039,57.40039,0.00000
2024-10-22 07:55:29,1.04167,57.94141,57.94141,0.00000
2024-10-22 07:55:30,0.96154,58.39063,58.39063,0.00000
2024-10-22 07:55:31,1.04167,57.58008,57.58008,0.00000
2024-10-22 07:55:32,0.96154,58.50000,58.50000,0.00000
2024-10-22 07:55:33,1.04167,58.50586,58.50586,0.00000
2024-10-22 07:55:34,0.96154,58.44141,58.44141,0.00000
2024-10-22 07:55:35,1.04167,58.50000,58.50000,0.00000
2024-10-22 07:55:36,0.96154,58.42383,58.42383,0.00000
2024-10-22 07:55:37,1.04167,58.32422,58.32422,0.00000
2024-10-22 07:55:38,0.96154,58.46094,58.46094,0.00000
2024-10-22 07:55:39,1.04167,57.60547,57.60547,0.00000
2024-10-22 07:55:40,0.96154,57.76563,57.76563,0.00000
2024-10-22 07:55:41,1.04167,58.35547,58.35547,0.00000
2024-10-22 07:55:42,0.96154,58.47266,58.47266,0.00000
2024-10-22 07:55:43,1.04167,58.65625,58.65625,0.00000
2024-10-22 07:55:44,0.96154,58.39844,58.39844,0.00000
2024-10-22 07:55:45,1.04167,58.49609,58.49609,0.00000
2024-10-22 07:55:46,0.96154,58.42773,58.42773,0.00000
2024-10-22 07:55:47,1.04167,58.27344,58.27344,0.00000
2024-10-22 07:55:48,0.96154,58.54297,58.54297,0.00000
2024-10-22 07:55:49,1.04167,57.49805,57.49805,0.00000
2024-10-22 07:55:50,0.96154,58.41992,58.41992,0.00000
2024-10-22 07:55:51,1.04167,57.71484,57.71484,0.00000
2024-10-22 07:55:52,0.96154,58.33984,58.33984,0.00000
2024-10-22 07:55:53,1.04167,58.28711,58.28711,0.00000
2024-10-22 07:55:54,0.95192,58.37109,58.37109,0.00000
2024-10-22 07:55:55,1.04167,58.52734,58.52734,0.00000
2024-10-22 07:55:56,0.96154,58.49023,58.49023,0.00000
2024-10-22 07:55:57,1.04167,58.50000,58.50000,0.00000
2024-10-22 07:55:58,0.97115,57.65234,57.65234,0.00000
2024-10-22 07:55:59,1.04167,58.42773,58.42773,0.00000
2024-10-22 07:56:00,1.04167,58.64844,58.64844,0.00000
2024-10-22 07:56:01,0.96154,57.53906,57.53906,0.00000
2024-10-22 07:56:02,1.04167,58.50781,58.50781,0.00000
2024-10-22 07:56:03,0.96154,58.41797,58.41797,0.00000
2024-10-22 07:56:04,1.04167,58.37500,58.37500,0.00000
2024-10-22 07:56:05,0.96154,58.47852,58.47852,0.00000
2024-10-22 07:56:06,1.04167,58.49023,58.49023,0.00000
2024-10-22 07:56:07,0.96154,58.55273,58.55273,0.00000
2024-10-22 07:56:08,1.04167,57.49023,57.49023,0.00000
2024-10-22 07:56:09,0.96154,58.17188,58.17188,0.00000
2024-10-22 07:56:10,1.04167,57.89648,57.89648,0.00000
2024-10-22 07:56:11,0.96154,58.09766,58.09766,0.00000
2024-10-22 07:56:12,1.05208,58.45313,58.45313,0.00000
2024-10-22 07:56:13,0.96154,57.95117,57.95117,0.00000
2024-10-22 07:56:14,1.04167,58.31836,58.31836,0.00000
2024-10-22 07:56:15,0.96154,58.46484,58.46484,0.00000
2024-10-22 07:56:16,1.04167,58.09766,58.09766,0.00000
2024-10-22 07:56:17,0.96154,58.39844,58.39844,0.00000
2024-10-22 07:56:18,1.04167,58.43359,58.43359,0.00000
2024-10-22 07:56:19,0.96154,57.45313,57.45313,0.00000
2024-10-22 07:56:20,1.04167,58.39258,58.39258,0.00000
2024-10-22 07:56:21,0.96154,57.41992,57.41992,0.00000
2024-10-22 07:56:22,1.04167,58.44141,58.44141,0.00000
2024-10-22 07:56:23,0.96154,58.45313,58.45313,0.00000
2024-10-22 07:56:24,1.04167,58.44141,58.44141,0.00000
2024-10-22 07:56:25,0.96154,58.66992,58.66992,0.00000
2024-10-22 07:56:26,1.04167,58.39648,58.39648,0.00000
2024-10-22 07:56:27,0.96154,58.37305,58.37305,0.00000
2024-10-22 07:56:28,1.04167,58.43945,58.43945,0.00000
2024-10-22 07:56:29,0.96154,57.60156,57.60156,0.00000
2024-10-22 07:56:30,1.04167,57.66602,57.66602,0.00000
2024-10-22 07:56:31,0.97115,58.44336,58.44336,0.00000
2024-10-22 07:56:32,1.04167,58.51758,58.51758,0.00000
2024-10-22 07:56:33,0.96154,58.45703,58.45703,0.00000
2024-10-22 07:56:34,1.04167,58.44531,58.44531,0.00000
2024-10-22 07:56:35,0.96154,58.59961,58.59961,0.00000
2024-10-22 07:56:36,1.04167,58.53125,58.53125,0.00000
2024-10-22 07:56:37,0.96154,58.48633,58.48633,0.00000
2024-10-22 07:56:38,1.04167,58.51563,58.51563,0.00000
2024-10-22 07:56:39,0.96154,57.32813,57.32813,0.00000
2024-10-22 07:56:40,1.04167,58.09180,58.09180,0.00000
2024-10-22 07:56:41,0.96154,58.00391,58.00391,0.00000
2024-10-22 07:56:42,1.04167,58.57031,58.57031,0.00000
2024-10-22 07:56:43,0.96154,58.62695,58.62695,0.00000
2024-10-22 07:56:44,1.04167,58.64453,58.64453,0.00000
2024-10-22 07:56:45,0.96154,58.59375,58.59375,0.00000
2024-10-22 07:56:46,1.04167,58.48047,58.48047,0.00000
2024-10-22 07:56:47,0.96154,58.55664,58.55664,0.00000
2024-10-22 07:56:48,1.04167,57.54492,57.54492,0.00000
2024-10-22 07:56:49,0.96154,58.62305,58.62305,0.00000
2024-10-22 07:56:50,1.04167,57.72266,57.72266,0.00000
2024-10-22 07:56:51,0.96154,57.66016,57.66016,0.00000
2024-10-22 07:56:52,1.04167,58.35352,58.35352,0.00000
2024-10-22 07:56:53,0.96154,58.43945,58.43945,0.00000
2024-10-22 07:56:54,1.04167,58.32422,58.32422,0.00000
2024-10-22 07:56:55,0.96154,58.52148,58.52148,0.00000
2024-10-22 07:56:56,1.04167,58.35352,58.35352,0.00000
2024-10-22 07:56:57,0.96154,58.13086,58.13086,0.00000
2024-10-22 07:56:58,1.04167,57.60547,57.60547,0.00000
2024-10-22 07:56:59,0.96154,58.08594,58.08594,0.00000
2024-10-22 07:57:00,1.04167,57.64844,57.64844,0.00000
2024-10-22 07:57:01,0.96154,57.91992,57.91992,0.00000
2024-10-22 07:57:02,1.04167,58.34766,58.34766,0.00000
2024-10-22 07:57:03,0.96154,58.29883,58.29883,0.00000
2024-10-22 07:57:04,0.97115,58.09375,58.09375,0.00000
2024-10-22 07:57:05,1.04167,58.24414,58.24414,0.00000
2024-10-22 07:57:06,0.96154,58.30078,58.30078,0.00000
2024-10-22 07:57:07,1.04167,58.36719,58.36719,0.00000
2024-10-22 07:57:08,0.96154,58.38086,58.38086,0.00000
2024-10-22 07:57:09,1.04167,57.39648,57.39648,0.00000
2024-10-22 07:57:10,0.96154,58.28906,58.28906,0.00000
2024-10-22 07:57:11,1.04167,57.31641,57.31641,0.00000
2024-10-22 07:57:12,0.96154,58.56055,58.56055,0.00000
2024-10-22 07:57:13,1.04167,58.44922,58.44922,0.00000
2024-10-22 07:57:14,0.96154,58.22266,58.22266,0.00000
2024-10-22 07:57:15,1.04167,58.40430,58.40430,0.00000
2024-10-22 07:57:16,0.96154,58.27539,58.27539,0.00000
2024-10-22 07:57:17,1.04167,58.33594,58.33594,0.00000
2024-10-22 07:57:18,0.96154,58.47266,58.47266,0.00000
2024-10-22 07:57:19,1.04167,57.72070,57.72070,0.00000
2024-10-22 07:57:20,0.96154,57.24805,57.24805,0.00000
2024-10-22 07:57:21,1.04167,58.23047,58.23047,0.00000
2024-10-22 07:57:22,0.96154,58.43164,58.43164,0.00000
2024-10-22 07:57:23,1.04167,58.36914,58.36914,0.00000
2024-10-22 07:57:24,0.97115,58.39844,58.39844,0.00000
2024-10-22 07:57:25,1.04167,58.55664,58.55664,0.00000
2024-10-22 07:57:26,0.96154,58.38477,58.38477,0.00000
2024-10-22 07:57:27,1.04167,58.32031,58.32031,0.00000
2024-10-22 07:57:28,0.96154,57.41406,57.41406,0.00000
2024-10-22 07:57:29,1.04167,58.67773,58.67773,0.00000
2024-10-22 07:57:30,0.96154,57.94922,57.94922,0.00000
2024-10-22 07:57:31,1.04167,58.04492,58.04492,0.00000
2024-10-22 07:57:32,0.96154,58.38867,58.38867,0.00000
2024-10-22 07:57:33,1.04167,57.89063,57.89063,0.00000
2024-10-22 07:57:34,0.96154,58.38477,58.38477,0.00000
2024-10-22 07:57:35,1.04167,58.45898,58.45898,0.00000
2024-10-22 07:57:36,0.96154,58.37695,58.37695,0.00000
2024-10-22 07:57:37,1.05208,58.37109,58.37109,0.00000
2024-10-22 07:57:38,0.96154,57.38672,57.38672,0.00000
2024-10-22 07:57:39,1.04167,58.24023,58.24023,0.00000
2024-10-22 07:57:40,0.96154,58.41797,58.41797,0.00000
2024-10-22 07:57:41,1.04167,57.44922,57.44922,0.00000
2024-10-22 07:57:42,0.96154,58.29688,58.29688,0.00000
2024-10-22 07:57:43,1.04167,58.56836,58.56836,0.00000
2024-10-22 07:57:44,0.96154,58.36719,58.36719,0.00000
2024-10-22 07:57:45,1.04167,58.46289,58.46289,0.00000
2024-10-22 07:57:46,0.96154,58.58789,58.58789,0.00000
2024-10-22 07:57:47,1.04167,58.11328,58.11328,0.00000
2024-10-22 07:57:48,0.96154,57.97070,57.97070,0.00000
